# Program:featureCounts v2.0.0; Command:"featureCounts" "-O" "-t" "gene" "-g" "ID" "-a" "sequence.gff3" "-o" "counts.txt" "mapped/SRR6176429.bam" "mapped/SRR6176430.bam" "mapped/SRR6176431.bam" "mapped/SRR6176432.bam" "mapped/SRR6176433.bam" "mapped/SRR6176434.bam" "mapped/SRR6176435.bam" "mapped/SRR6176436.bam" "mapped/SRR6176437.bam" "mapped/SRR6176438.bam" "mapped/SRR6176439.bam" "mapped/SRR6176440.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped/SRR6176429.bam	mapped/SRR6176430.bam	mapped/SRR6176431.bam	mapped/SRR6176432.bam	mapped/SRR6176433.bam	mapped/SRR6176434.bam	mapped/SRR6176435.bam	mapped/SRR6176436.bam	mapped/SRR6176437.bam	mapped/SRR6176438.bam	mapped/SRR6176439.bam	mapped/SRR6176440.bam
gene-Rv0461	NC_000962.3	552026	552550	+	525	467	610	670	504	670	549	516	299	707	1138	213	645
gene-Rv0462	NC_000962.3	552614	554008	+	1395	3182	3696	3567	3938	4229	4183	3622	1703	4375	6307	803	3828
gene-Rv0463	NC_000962.3	554016	554309	+	294	501	617	604	663	586	689	544	251	632	1152	126	619
gene-Rv0464c	NC_000962.3	554313	554885	-	573	614	813	833	654	857	1019	924	319	951	2221	243	1134
gene-Rv0465c	NC_000962.3	554882	556306	-	1425	347	378	441	281	417	651	549	200	512	1543	187	771
gene-Rv0466	NC_000962.3	556458	557252	+	795	626	836	724	535	760	791	761	301	846	1258	298	922
gene-Rv0467	NC_000962.3	557527	558813	+	1287	1454	1913	1611	1605	2834	5348	4870	1262	2426	1614	814	1812
gene-Rv0468	NC_000962.3	558895	559755	+	861	743	906	747	640	1018	1604	1821	405	1108	959	221	734
gene-Rv0469	NC_000962.3	559888	560748	+	861	1765	2701	2105	1629	2193	2723	2650	789	3309	3775	611	2540
gene-Rv0470c	NC_000962.3	560848	561711	-	864	2097	2913	2700	1790	2663	2967	2726	1144	3260	7003	907	3704
gene-Rv0470A	NC_000962.3	561854	562294	-	441	192	201	216	157	203	163	150	79	197	351	45	217
gene-Rv0471c	NC_000962.3	562225	562713	-	489	262	332	327	231	309	357	216	162	343	831	78	441
gene-Rv0472c	NC_000962.3	562723	563427	-	705	656	823	887	689	780	766	466	308	1023	2256	191	1215
gene-Rv0473	NC_000962.3	563564	564934	+	1371	1002	1210	1178	1025	1085	908	683	537	1415	2244	227	1438
gene-Rv0474	NC_000962.3	565021	565443	+	423	693	874	560	493	626	504	545	368	904	1248	233	753
gene-Rv0475	NC_000962.3	565797	566396	+	600	2776	3320	2572	2253	3016	1698	2126	1370	4220	4541	967	3700
gene-Rv0476	NC_000962.3	566508	566771	+	264	1059	1066	1156	941	1243	880	990	483	1064	1659	277	935
gene-Rv0477	NC_000962.3	566776	567222	+	447	1749	2267	1999	1679	3155	1858	1828	1281	2286	3052	412	2286
gene-Rv0478	NC_000962.3	567222	567896	+	675	1201	1298	1319	1001	1393	1162	1394	983	1458	1649	256	1302
gene-Rv0479c	NC_000962.3	567921	568967	-	1047	1160	1442	1374	916	1450	1951	1500	660	1759	2685	535	1758
gene-Rv0480c	NC_000962.3	568964	569806	-	843	321	382	369	210	323	365	251	162	419	630	84	425
gene-Rv0481c	NC_000962.3	569988	570512	-	525	274	304	265	206	338	185	220	156	375	676	97	387
gene-Rv0482	NC_000962.3	570539	571648	+	1110	359	440	369	253	316	280	336	156	528	704	98	490
gene-Rv0483	NC_000962.3	571710	573065	+	1356	2554	3704	5182	3328	5269	6710	4728	2490	4193	9687	812	5386
gene-Rv0484c	NC_000962.3	573046	573801	-	756	863	1056	1344	822	1446	1409	1664	777	965	1849	213	1246
gene-Rv0485	NC_000962.3	573984	575300	+	1317	1735	2304	3227	2561	2678	3593	1735	1915	2473	5617	517	3067
gene-Rv0486	NC_000962.3	575348	576790	+	1443	3933	4282	4114	3602	4162	3468	4292	2551	4056	5119	529	3463
gene-Rv0487	NC_000962.3	576787	577338	+	552	888	1074	1009	931	919	973	760	491	1189	1661	146	953
gene-Rv0488	NC_000962.3	577664	578269	+	606	82	110	110	63	97	99	70	55	118	109	23	111
gene-Rv0489	NC_000962.3	578426	579175	+	750	589	782	705	574	604	923	697	291	795	1180	126	634
gene-Rv0490	NC_000962.3	579349	580581	+	1233	2226	2811	2929	2792	2830	2877	1930	1320	3537	4869	448	3101
gene-Rv0491	NC_000962.3	580809	581492	+	684	900	1429	1388	1205	1162	1450	881	551	1549	2316	268	1490
gene-Rv0492c	NC_000962.3	581489	583378	-	1890	791	941	913	840	977	900	806	516	1082	1532	187	1092
gene-Rv0492A	NC_000962.3	583375	583704	-	330	78	95	75	61	100	91	54	31	78	153	42	92
gene-Rv0493c	NC_000962.3	583701	584690	-	990	141	188	169	134	167	165	148	83	190	323	67	266
gene-Rv0494	NC_000962.3	584695	585423	+	729	261	269	309	342	375	321	323	153	272	358	41	238
gene-Rv0495c	NC_000962.3	585424	586314	-	891	1014	1308	1248	1163	1544	1551	1225	582	1404	2550	264	1336
gene-Rv0496	NC_000962.3	586394	587380	+	987	652	960	978	825	964	1139	827	401	1021	1791	271	1031
gene-Rv0497	NC_000962.3	587377	588309	+	933	718	982	1000	899	1197	1025	877	500	1132	2027	271	1285
gene-Rv0498	NC_000962.3	588325	589167	+	843	512	571	629	502	639	454	414	373	580	943	100	774
gene-Rv0499	NC_000962.3	589183	590058	+	876	450	401	425	401	404	312	352	255	450	711	85	457
gene-Rv0500	NC_000962.3	590083	590970	+	888	643	740	760	514	641	927	841	322	866	1381	158	765
gene-Rv0500A	NC_000962.3	591111	591347	+	237	934	1051	808	691	875	1130	1516	347	1199	1425	358	721
gene-Rv0501	NC_000962.3	591654	592784	+	1131	2732	3271	2797	2557	3459	2700	2495	1560	4031	5269	1017	3921
gene-Rv0502	NC_000962.3	592791	593867	+	1077	4289	5624	4216	3190	4834	4349	5017	2449	6118	9259	2268	6385
gene-Rv0503c	NC_000962.3	593871	594779	-	909	1606	2140	1757	1341	2162	2278	2200	832	2497	4361	1243	2690
gene-Rv0504c	NC_000962.3	594802	595302	-	501	358	435	397	443	518	576	310	201	597	1006	160	707
gene-Rv0505c	NC_000962.3	595464	596585	-	1122	994	1188	1102	1134	1366	1277	885	493	1431	2194	478	1750
gene-Rv0506	NC_000962.3	596759	597202	+	444	345	457	500	365	492	521	514	194	426	1677	273	935
gene-Rv0507	NC_000962.3	597199	600105	+	2907	1393	1873	1821	1563	1786	1620	1230	668	2306	3483	377	2332
gene-Rv0508	NC_000962.3	600098	600391	+	294	225	271	319	252	261	236	220	132	323	546	68	344
gene-Rv0509	NC_000962.3	600441	601847	+	1407	8646	9257	8815	7216	9093	6020	8082	5833	9587	10202	1568	8163
gene-Rv0510	NC_000962.3	601857	602786	+	930	6764	7899	7466	6381	6568	4276	5143	4056	8739	9417	1017	7693
gene-Rv0511	NC_000962.3	602819	604516	+	1698	13886	15180	14197	11200	12603	7433	8156	9111	15613	18371	2042	15967
gene-Rv0512	NC_000962.3	604602	605591	+	990	5135	5949	5050	4236	4261	2003	2490	2804	5982	6080	711	6102
gene-Rv0513	NC_000962.3	605604	606152	+	549	3412	3784	3096	2588	2469	1292	1626	1629	4174	3626	469	3645
gene-Rv0514	NC_000962.3	606149	606448	+	300	1276	1277	1099	828	905	437	716	837	1158	1043	154	1044
gene-Rv0515	NC_000962.3	606551	608062	+	1512	152	146	181	100	127	98	71	67	125	247	85	153
gene-Rv0516c	NC_000962.3	608059	608535	-	477	705	800	841	605	550	848	468	258	748	1427	583	835
gene-Rv0517	NC_000962.3	608746	610056	+	1311	279	348	379	336	330	503	376	165	413	991	189	561
gene-Rv0518	NC_000962.3	610188	610883	+	696	205	289	331	198	397	320	241	165	325	847	70	461
gene-Rv0519c	NC_000962.3	611172	612074	-	903	425	624	690	471	570	518	399	311	711	1509	86	568
gene-Rv0522	NC_000962.3	613038	614342	+	1305	581	794	716	670	761	859	711	341	835	1598	179	964
gene-Rv0523c	NC_000962.3	614326	614721	-	396	116	149	143	109	113	155	142	56	148	230	48	135
gene-Rv0524	NC_000962.3	614835	616223	+	1389	3458	3673	3787	3458	4371	3940	4566	1999	3541	4546	243	2127
gene-Rv0525	NC_000962.3	616223	616831	+	609	1238	1345	1306	1555	1653	1575	1212	774	1486	1723	50	937
gene-Rv0526	NC_000962.3	616846	617496	+	651	1743	1957	2313	1954	1885	2342	1963	1115	2219	2887	100	1491
gene-Rv0527	NC_000962.3	617493	618272	+	780	2150	1996	2546	2154	1647	1948	2846	1403	2231	2538	132	1287
gene-Rv0528	NC_000962.3	618305	619894	+	1590	3894	4329	4382	3449	3712	3445	4425	2582	4519	5623	242	3073
gene-Rv0529	NC_000962.3	619891	620865	+	975	1728	1908	2006	1601	1793	1531	2164	1101	1944	2534	179	1316
gene-Rv0530	NC_000962.3	620907	622124	+	1218	2732	3083	2763	2485	3413	2883	3109	1737	3134	3635	554	2308
gene-Rv0530A	NC_000962.3	622121	622282	-	162	548	798	653	553	912	1102	811	332	823	1045	161	452
gene-Rv0531	NC_000962.3	622329	622646	+	318	596	673	586	567	902	767	882	379	639	659	94	421
gene-Rv0532	NC_000962.3	622793	624577	+	1785	784	758	743	540	625	685	707	349	793	1087	190	667
gene-Rv0533c	NC_000962.3	624473	625480	-	1008	637	790	711	557	697	794	649	297	888	1868	313	1147
gene-Rv0534c	NC_000962.3	625562	626440	-	879	131	140	134	100	182	112	161	81	153	402	84	273
gene-Rv0535	NC_000962.3	626457	627251	+	795	194	200	154	115	155	209	164	80	192	358	52	172
gene-Rv0536	NC_000962.3	627248	628288	+	1041	556	533	538	428	571	573	560	316	548	692	123	509
gene-Rv0537c	NC_000962.3	628298	629731	-	1434	1709	1856	2061	1701	1963	1949	1730	1046	2015	2727	452	1708
gene-Rv0538	NC_000962.3	630040	631686	+	1647	1755	2118	2071	1561	2133	1928	1786	1420	2453	2881	374	2217
gene-Rv0539	NC_000962.3	631743	632375	+	633	821	983	1078	652	941	1169	717	474	1078	1883	268	1324
gene-Rv0540	NC_000962.3	632372	633034	+	663	199	220	212	181	199	162	218	107	249	337	36	225
gene-Rv0541c	NC_000962.3	633055	634404	-	1350	1166	1101	981	753	941	587	987	678	1158	2299	213	1645
gene-Rv0542c	NC_000962.3	634416	635504	-	1089	1798	1506	1506	1203	1276	1188	1499	986	1847	4083	382	2624
gene-Rv0543c	NC_000962.3	635573	635875	-	303	1068	1296	1107	865	1310	1112	1289	705	1256	2488	303	1736
gene-Rv0544c	NC_000962.3	635935	636213	-	279	1003	988	1062	736	922	1089	1284	647	1119	2133	280	1529
gene-Rv0545c	NC_000962.3	636210	637463	-	1254	7097	7374	7330	5754	7047	7709	11402	4773	8408	14872	2137	10270
gene-Rv0546c	NC_000962.3	637583	637969	-	387	270	238	278	225	279	330	386	135	279	473	53	270
gene-Rv0547c	NC_000962.3	638032	638916	-	885	437	448	498	451	537	525	517	241	436	794	85	479
gene-Rv0548c	NC_000962.3	639012	639956	-	945	843	1059	1076	748	1153	1391	1503	526	1018	1496	212	964
gene-Rv0549c	NC_000962.3	640228	640641	-	414	169	212	288	196	273	262	204	114	212	381	32	266
gene-Rv0550c	NC_000962.3	640638	640904	-	267	73	92	82	76	65	101	54	30	99	139	18	91
gene-Rv0551c	NC_000962.3	641096	642811	-	1716	338	431	387	435	556	517	457	212	449	758	106	368
gene-Rv0552	NC_000962.3	642889	644493	+	1605	377	447	419	314	420	483	341	214	516	935	93	500
gene-Rv0553	NC_000962.3	644490	645470	+	981	242	236	260	211	294	266	214	147	248	442	57	235
gene-Rv0554	NC_000962.3	645467	646255	+	789	134	200	196	154	195	190	132	91	233	502	85	303
gene-Rv0555	NC_000962.3	646298	647962	+	1665	1770	2048	1926	1498	1964	1870	2003	1118	2089	4299	522	2557
gene-Rv0556	NC_000962.3	647959	648474	+	516	635	814	742	584	697	725	592	308	916	2013	187	1248
gene-Rv0557	NC_000962.3	648536	649672	+	1137	1158	1269	1033	879	973	776	1035	682	1187	1847	275	1343
gene-Rv0558	NC_000962.3	649689	650393	+	705	1397	1613	1553	1228	1862	1921	1829	709	1364	2752	298	1315
gene-Rv0559c	NC_000962.3	650407	650745	-	339	1156	1915	1780	1048	1899	2932	1688	590	1847	5542	565	2144
gene-Rv0560c	NC_000962.3	650779	651504	-	726	282	326	300	267	336	340	364	183	329	520	74	404
gene-Rv0561c	NC_000962.3	651529	652755	-	1227	243	318	348	266	372	385	339	193	327	657	88	383
gene-Rv0562	NC_000962.3	652771	653778	+	1008	1127	1305	1329	1070	1202	1733	2034	697	1445	2956	375	1734
gene-Rv0563	NC_000962.3	653879	654739	+	861	1320	1551	1360	930	1318	1137	835	641	1718	2526	253	1341
gene-Rv0564c	NC_000962.3	654924	655949	-	1026	941	1148	905	619	938	772	545	573	1335	1588	184	1116
gene-Rv0565c	NC_000962.3	656010	657470	-	1461	292	346	344	271	436	302	219	168	389	833	128	449
gene-Rv0566c	NC_000962.3	657548	658039	-	492	96	129	88	107	166	194	191	49	121	266	66	115
gene-Rvnt05	NC_000962.3	658109	658189	+	81	0	2	1	4	1	5	5	2	3	4	3	1
gene-Rv0567	NC_000962.3	658321	659340	+	1020	271	478	529	432	609	553	334	167	577	1204	189	700
gene-Rv0568	NC_000962.3	659450	660868	+	1419	2296	2703	2583	2062	2213	2835	2393	1090	2734	4487	574	2981
gene-Rv0569	NC_000962.3	661003	661269	+	267	821	1562	1481	1374	1393	1843	1640	663	2071	2192	844	3172
gene-Rv0570	NC_000962.3	661295	663373	+	2079	2036	3826	3286	2784	3577	3583	4781	2070	4945	3947	592	7973
gene-Rv0571c	NC_000962.3	663487	664818	-	1332	429	923	802	538	740	897	1006	356	1067	1598	223	1460
gene-Rv0572c	NC_000962.3	665042	665383	-	342	136	237	217	168	263	296	340	89	370	326	38	415
gene-Rv0573c	NC_000962.3	665851	667242	-	1392	109	169	163	129	190	178	157	89	182	427	50	341
gene-Rv0574c	NC_000962.3	667252	668394	-	1143	164	282	302	155	288	302	318	99	326	668	71	808
gene-Rv0575c	NC_000962.3	668579	669745	-	1167	182	308	257	268	550	185	138	196	317	339	93	459
gene-Rv0576	NC_000962.3	669848	671152	+	1305	943	971	854	707	928	748	941	497	1179	1676	329	1294
gene-Rv0577	NC_000962.3	671166	671951	+	786	1305	1524	1210	1072	1513	1143	1258	739	1770	2352	377	1811
gene-Rv0578c	NC_000962.3	671996	675916	-	3921	5815	6226	4673	4164	4567	4144	4376	2672	7186	8213	1283	5763
gene-Rv0579	NC_000962.3	676238	676996	+	759	748	945	788	685	1065	929	1029	489	898	1442	292	1151
gene-Rv0580c	NC_000962.3	677125	677616	-	492	415	443	350	435	630	420	499	327	446	707	148	532
gene-Rv0581	NC_000962.3	677710	677925	+	216	142	223	182	201	244	222	109	46	243	289	33	139
gene-Rv0582	NC_000962.3	677922	678329	+	408	378	475	445	557	799	380	303	215	480	1024	88	632
gene-Rv0583c	NC_000962.3	678389	679075	-	687	323	419	430	332	328	559	521	201	485	945	196	580
gene-Rv0584	NC_000962.3	679229	681862	+	2634	441	538	448	339	424	479	536	227	609	729	110	508
gene-Rv0585c	NC_000962.3	681885	684272	-	2388	435	566	520	386	544	449	477	243	581	993	103	650
gene-Rv0586	NC_000962.3	684410	685132	+	723	615	706	641	478	811	739	585	375	709	1455	222	645
gene-Rv0587	NC_000962.3	685129	685926	+	798	1128	1210	1195	1217	1588	971	1054	727	1397	2003	264	1133
gene-Rv0588	NC_000962.3	685928	686815	+	888	1220	1322	1263	1263	1560	1007	939	1005	1413	2205	255	1323
gene-Rv0589	NC_000962.3	686821	688035	+	1215	1295	1545	1489	1280	1572	1152	974	717	1781	2840	254	1669
gene-Rv0591	NC_000962.3	689059	690504	+	1446	201	251	193	195	240	177	147	130	292	437	29	275
gene-Rv0592	NC_000962.3	690501	692027	+	1527	193	208	177	142	207	136	163	110	219	363	37	192
gene-Rv0593	NC_000962.3	692024	693232	+	1209	159	239	190	121	181	219	140	118	180	412	55	204
gene-Rv0594	NC_000962.3	693237	694787	+	1551	319	437	376	237	338	378	290	196	364	654	104	423
gene-Rv0595c	NC_000962.3	694839	695231	-	393	98	118	100	69	98	127	86	68	114	319	24	206
gene-Rv0596c	NC_000962.3	695228	695485	-	258	37	46	37	49	46	59	45	26	59	138	9	74
gene-Rv0597c	NC_000962.3	695668	696903	-	1236	3103	2920	2572	2432	2737	2485	3998	1932	2914	2792	488	3498
gene-Rv0598c	NC_000962.3	697154	697567	-	414	512	756	888	576	870	894	677	390	764	1776	156	1457
gene-Rv0599c	NC_000962.3	697564	697800	-	237	183	280	255	188	230	394	166	60	248	686	58	269
gene-Rv0600c	NC_000962.3	697904	698410	-	507	42	59	76	49	53	57	50	31	54	106	14	83
gene-Rv0601c	NC_000962.3	698524	698994	-	471	20	35	37	16	14	30	18	19	34	41	7	39
gene-Rv0602c	NC_000962.3	699038	699799	-	762	22	34	24	25	36	33	23	14	35	44	8	33
gene-Rv0603	NC_000962.3	699856	700167	+	312	17	16	6	10	6	8	14	3	24	16	3	6
gene-Rv0604	NC_000962.3	700239	701189	+	951	250	296	297	216	341	374	275	141	329	476	98	325
gene-Rv0605	NC_000962.3	701430	702014	+	585	394	526	413	506	479	333	418	249	581	757	70	380
gene-Rv0607	NC_000962.3	702813	703199	+	387	169	203	159	160	208	152	122	130	213	283	24	233
gene-Rv0608	NC_000962.3	703244	703489	+	246	421	657	586	397	702	703	393	252	720	1942	164	1023
gene-Rv0609	NC_000962.3	703486	703887	+	402	598	823	796	620	1072	852	553	432	909	2432	158	1396
gene-Rv0609A	NC_000962.3	703830	704057	+	228	344	499	545	378	657	531	331	250	508	1607	107	825
gene-RVnc0005	NC_000962.3	704187	704247	+	61	40	44	42	33	53	34	50	36	59	104	5	76
gene-Rv0610c	NC_000962.3	704752	705909	-	1158	617	702	531	394	499	550	720	343	687	1135	211	874
gene-Rv0611c	NC_000962.3	705961	706182	-	222	354	606	428	219	243	530	433	97	407	937	218	549
gene-Rv0612	NC_000962.3	706324	706929	+	606	236	286	253	263	342	332	252	180	311	249	55	178
gene-Rv0613c	NC_000962.3	706948	709515	-	2568	2058	2045	2514	2188	2702	2928	2752	1336	2348	4262	554	2447
gene-Rv0614	NC_000962.3	709356	710348	+	993	82	106	113	99	65	175	103	43	146	234	39	101
gene-Rv0615	NC_000962.3	710345	710587	+	243	192	289	318	189	328	377	276	127	295	667	83	386
gene-Rv0616A	NC_000962.3	710782	711009	+	228	313	494	504	359	432	473	246	253	534	1412	92	916
gene-Rv0617	NC_000962.3	711006	711407	+	402	521	705	727	564	640	545	570	462	738	1523	85	1046
gene-Rv0620	NC_000962.3	712716	713807	+	1092	31	25	21	23	23	9	14	19	23	37	9	24
gene-Rv0621	NC_000962.3	714202	715266	+	1065	135	153	163	112	200	179	106	76	153	338	83	249
gene-Rv0622	NC_000962.3	715370	716317	+	948	64	80	100	65	68	95	46	42	106	216	39	148
gene-Rv0623	NC_000962.3	716410	716664	+	255	206	172	192	172	173	233	184	89	204	524	46	251
gene-Rv0624	NC_000962.3	716664	717059	+	396	348	363	428	296	457	446	465	194	434	1314	95	668
gene-Rv0625c	NC_000962.3	717153	717893	-	741	311	312	264	234	303	294	351	167	303	468	90	383
gene-Rv0626	NC_000962.3	718025	718285	+	261	317	325	292	229	274	351	202	149	298	743	75	439
gene-Rv0627	NC_000962.3	718282	718689	+	408	570	711	646	489	780	570	623	410	635	1432	123	1079
gene-Rv0628c	NC_000962.3	718761	719912	-	1152	1048	1159	1230	982	1580	1031	1042	722	1300	1660	338	1185
gene-Rv0629c	NC_000962.3	720005	721732	-	1728	683	662	703	686	635	410	537	435	740	1006	102	681
gene-Rv0630c	NC_000962.3	721729	725013	-	3285	663	672	765	627	731	613	520	435	800	1349	146	854
gene-Rv0631c	NC_000962.3	725013	728306	-	3294	382	392	439	370	479	403	337	261	441	790	114	496
gene-Rv0632c	NC_000962.3	728583	729278	-	696	1338	1867	1903	1627	2471	2493	2229	877	1911	3868	397	2163
gene-Rv0633c	NC_000962.3	729327	730166	-	840	391	551	614	465	506	629	405	261	650	1312	121	889
gene-Rv0634c	NC_000962.3	730320	731033	-	714	481	678	646	457	798	785	783	291	572	1389	169	753
gene-Rv0634A	NC_000962.3	731113	731364	+	252	376	577	423	289	423	868	504	135	472	1437	246	672
gene-Rvnt06	NC_000962.3	731494	731566	+	73	145	125	130	112	99	220	261	47	125	248	62	121
gene-Rvnt07	NC_000962.3	731603	731676	+	74	93	130	126	113	112	253	156	49	175	432	89	173
gene-Rv0634B	NC_000962.3	731712	731879	+	168	226	342	299	257	418	554	330	128	404	656	136	512
gene-Rv0635	NC_000962.3	731930	732406	+	477	722	1165	1000	940	1223	1110	764	455	1445	2381	411	1732
gene-Rv0636	NC_000962.3	732393	732821	+	429	1100	1534	1462	1328	1977	1464	1382	711	1686	2836	485	1876
gene-Rv0637	NC_000962.3	732825	733325	+	501	1147	1885	1896	1571	2729	1825	1342	876	2405	4819	625	3223
gene-Rvnt08	NC_000962.3	733524	733596	+	73	587	735	812	421	608	749	692	307	928	1057	206	911
gene-Rv0638	NC_000962.3	733737	734222	+	486	3394	4977	4679	3169	4010	3928	2709	1844	6225	6757	916	5296
gene-Rv0639	NC_000962.3	734254	734970	+	717	7513	10908	9737	7352	9499	7112	5963	4244	13982	14616	1875	11889
gene-Rv0640	NC_000962.3	735022	735450	+	429	5109	7151	5328	4949	6695	3820	3534	2834	9592	7299	923	6803
gene-Rv0641	NC_000962.3	735517	736224	+	708	11667	15201	13154	9436	14084	6834	6988	7583	16706	17705	2105	16220
gene-Rv0642c	NC_000962.3	736298	737203	-	906	3161	4587	4340	2928	4502	4283	3568	1686	4773	8905	1673	5513
gene-Rv0643c	NC_000962.3	737268	738149	-	882	1091	1318	1193	911	1257	1044	1034	468	1601	2670	606	1506
gene-Rv0644c	NC_000962.3	738297	739160	-	864	453	642	634	383	703	609	594	270	681	1353	412	910
gene-Rv0645c	NC_000962.3	739327	740187	-	861	372	584	541	416	499	552	374	182	641	1189	190	637
gene-Rv0646c	NC_000962.3	740234	741139	-	906	1121	1392	1426	1047	1568	1248	1225	807	1435	2413	292	1664
gene-Rv0647c	NC_000962.3	741151	742617	-	1467	1483	1798	1877	1454	2023	1859	1832	986	1830	2683	410	1873
gene-Rv0648	NC_000962.3	742719	746366	+	3648	481	470	499	479	564	545	480	269	465	956	189	590
gene-Rv0649	NC_000962.3	746363	747037	+	675	88	118	115	83	103	135	117	53	127	162	22	110
gene-Rv0650	NC_000962.3	747037	747945	+	909	144	103	115	111	93	118	171	51	126	189	29	132
gene-Rv0651	NC_000962.3	748276	748812	+	537	1862	2269	1901	1303	1522	928	550	823	2635	1804	422	1640
gene-Rv0652	NC_000962.3	748849	749241	+	393	2415	2695	2012	2231	2515	849	567	1306	3352	1911	471	2291
gene-Rv0653c	NC_000962.3	749234	749929	-	696	3375	3670	2840	2806	3597	941	707	2027	4065	3310	584	3712
gene-Rv0654	NC_000962.3	750000	751505	+	1506	918	982	756	675	1023	337	307	618	1044	881	231	764
gene-Rv0655	NC_000962.3	751517	752596	+	1080	14377	17870	12160	9260	9873	9449	14582	5162	19802	26252	4582	18199
gene-Rv0656c	NC_000962.3	752984	753367	-	384	480	632	547	362	562	355	303	366	736	782	56	716
gene-Rv0657c	NC_000962.3	753462	753617	-	156	223	356	334	192	249	293	154	129	385	933	55	642
gene-Rv0658c	NC_000962.3	753693	754409	-	717	754	1000	1077	769	878	619	735	615	1010	2246	84	1459
gene-Rv0659c	NC_000962.3	754685	754993	-	309	2028	2781	2850	1828	2945	2271	2099	1323	2748	6262	358	3851
gene-Rv0660c	NC_000962.3	754980	755225	-	246	1129	1343	1285	771	1058	1262	634	437	1324	3652	325	1779
gene-Rv0661c	NC_000962.3	755335	755772	-	438	25	23	45	34	60	35	34	14	35	55	8	34
gene-Rv0662c	NC_000962.3	755769	756023	-	255	23	25	29	28	48	55	26	16	33	65	7	28
gene-Rv0663	NC_000962.3	756137	758500	+	2364	1310	1957	2014	1553	1984	2093	1518	733	1999	2441	330	1751
gene-Rv0664	NC_000962.3	758532	758804	+	273	95	140	164	126	170	154	83	64	156	296	29	165
gene-Rv0665	NC_000962.3	758801	759139	+	339	86	98	86	103	115	84	66	57	102	198	14	136
gene-Rv0666	NC_000962.3	759136	759309	+	174	44	47	34	34	58	39	32	26	60	102	6	71
gene-Rv0667	NC_000962.3	759807	763325	+	3519	85633	108468	78844	71499	93850	29870	42516	53341	141083	82334	19475	92029
gene-Rv0668	NC_000962.3	763370	767320	+	3951	122104	135186	103839	106595	130519	31407	35518	80713	163380	91672	13978	107203
gene-Rv0669c	NC_000962.3	767684	769597	-	1914	3113	4053	3241	2532	3649	820	740	2744	4615	4881	285	5528
gene-Rv0670	NC_000962.3	769792	770550	+	759	887	1188	1310	1194	2177	1704	1059	697	1425	2366	203	1569
gene-Rv0671	NC_000962.3	770582	771424	+	843	731	951	1035	785	1166	1097	909	722	1145	1781	204	1507
gene-Rv0672	NC_000962.3	771484	773112	+	1629	1253	1185	1190	1135	1354	1301	1957	737	1566	2336	513	1558
gene-Rv0673	NC_000962.3	773123	774061	+	939	666	657	578	680	763	578	935	407	765	1079	233	705
gene-Rv0674	NC_000962.3	774064	774786	+	723	384	392	361	323	418	311	499	247	440	728	144	445
gene-Rv0675	NC_000962.3	774783	775574	+	792	427	502	501	465	576	312	429	305	500	719	111	580
gene-Rv0676c	NC_000962.3	775586	778480	-	2895	3230	4000	4380	4188	4323	1778	1075	2577	4287	6575	729	5041
gene-Rv0677c	NC_000962.3	778477	778905	-	429	651	937	1047	889	963	342	202	551	1076	1666	197	1367
gene-Rv0678	NC_000962.3	778990	779487	+	498	448	657	623	528	550	395	205	241	702	1257	184	855
gene-Rv0679c	NC_000962.3	779543	780040	-	498	566	775	609	575	700	537	398	329	772	1120	249	748
gene-Rv0680c	NC_000962.3	780042	780416	-	375	447	539	345	277	363	423	330	228	522	945	271	519
gene-Rv0681	NC_000962.3	780721	781311	+	591	755	839	704	558	716	821	1062	410	795	1396	248	948
gene-Rv0682	NC_000962.3	781560	781934	+	375	2063	4915	3665	3388	3507	4272	2976	953	5323	3740	889	3193
gene-Rv0683	NC_000962.3	781934	782404	+	471	3358	5666	4641	4630	5256	4837	3827	1475	6821	4118	1023	3531
gene-Rv0684	NC_000962.3	782485	784590	+	2106	23821	36708	31705	27310	29410	15911	15094	11768	46205	29876	4610	26407
gene-Rv0685	NC_000962.3	784821	786011	+	1191	22276	35662	29831	26275	28255	15938	10385	11807	40800	33033	5155	28287
gene-Rv0686	NC_000962.3	786149	786946	+	798	3597	5296	4367	3118	4294	2331	2320	2082	5620	2271	386	1676
gene-Rv0687	NC_000962.3	787099	787926	+	828	534	881	648	456	699	384	390	322	984	717	107	446
gene-Rv0688	NC_000962.3	787940	789160	+	1221	1149	1345	1048	929	1366	618	715	754	1450	1549	267	989
gene-Rv0689c	NC_000962.3	789157	789411	-	255	105	117	83	77	128	59	70	72	144	100	28	78
gene-Rv0690c	NC_000962.3	790024	791073	-	1050	1460	1723	1651	1093	1558	1387	1608	892	1602	3026	241	2409
gene-Rv0691c	NC_000962.3	791070	791666	-	597	481	746	723	363	617	773	512	238	625	1385	137	1010
gene-Rv0691A	NC_000962.3	791757	791846	+	90	417	666	358	274	271	1171	441	141	694	2505	287	931
gene-Rv0692	NC_000962.3	791831	792160	+	330	2122	2718	1861	1241	2012	3379	5278	1167	2504	6031	843	4593
gene-Rv0693	NC_000962.3	792157	793332	+	1176	6993	7657	5414	4486	5715	5750	11867	3436	7705	13631	1296	11577
gene-Rv0694	NC_000962.3	793335	794525	+	1191	8551	9396	6286	5921	7000	5370	10156	3721	9637	11852	1182	11163
